Q0K5T4	 COG0792
Q0K5M1	 COG0356
Q0JYJ9	 COG1793
Q0KET0	 COG2226
Q0K9N8	 COG0845
Q0K9N8	 COG5569
Q0K7A2	 COG0784
Q0K7A2	 COG2205
Q0K937	 COG2812
Q0K995	 COG1653
Q0KAA6	 COG3485
Q0K6D1	 COG1529
Q7WXI2	 COG0210
Q0K5U5	 COG5501
Q0KBE0	 COG0065
Q0KAW2	 COG0251
Q0K2W6	 ENOG503334Q
Q7WWZ4	 COG2804
Q0KE64	 COG4319
Q0K0E1	 COG1012
Q0K124	 COG0396
Q0KCR5	 COG0494
Q0KEV3	 COG0606
Q0KD51	 COG2267
Q0K2S1	 COG0583
Q0K5H2	 ENOG5033R6V
Q0K5A0	 COG1835
Q0JZT3	 COG2329
Q0K9H9	 COG0715
Q0K0Z5	 COG3181
Q0JYX2	 COG0288
Q0KBB4	 COG3339
Q0K0B3	 COG0596
Q0KDT8	 COG0628
Q0K354	 COG2146
Q0JYW7	 COG0065
Q0K1W0	 ENOG5033RN0
Q0KDL2	 COG1178
Q0K2Q5	 COG1042
Q0K716	 COG3288
Q0KAT8	 COG1538
Q0K0X9	 COG0366
Q0K0X9	 COG3281
Q0K0I6	 ENOG503495I
Q0JZ28	 ENOG5033ZDK
Q0KE38	 COG0845
Q0JYQ4	 ENOG5033V4E
Q0KA01	 COG2890
Q0K4B8	 COG1960
Q0K432	 COG0582
Q7WXS7	 COG4974
Q0K6U8	 ENOG5032BAX
Q0K790	 COG0538
Q0JZ98	 COG2134
Q0KEK4	 COG4966
Q0K9H6	 COG2193
Q0K2Y6	 COG0583
Q0JZ68	 COG0392
Q0K4A1	 COG2909
Q0K4A1	 COG3415
Q0KBS8	 COG0369
Q0KBS8	 COG1149
Q0K972	 COG0104
Q0K4N2	 COG1352
Q0K1S4	 COG0582
Q0K0F0	 COG1024
Q0K3G0	 COG2030
Q0K2T5	 COG2216
Q0K7T5	 COG0043
Q0JYT1	 COG0845
Q0KCB6	 COG0483
Q0K0V5	 COG5361
Q0K9C3	 COG4126
Q0KCY4	 COG1315
Q0JYF5	 COG0583
Q0K1Y1	 COG0656
Q0K7B9	 COG0411
Q0K3E4	 COG1960
Q79IP0	 COG0680
Q0K320	 COG2267
Q0KDP2	 COG3762
Q0JYR6	 ENOG5033VVJ
Q0K342	 COG1566
Q0KCZ6	 COG4964
Q0K1Z3	 COG2084
Q0K215	 COG1524
Q0JZT0	 COG3284
Q0JZY0	 COG0369
Q0JZY0	 COG1145
Q0K8M9	 COG0695
Q0KD52	 COG3473
Q0JZD8	 COG3039
Q0KB34	 COG2303
Q0KAN8	 COG1196
Q0K9D6	 COG0042
Q0K162	 COG3181
Q0KB52	 ENOG5033UD5
Q0JZA6	 COG3832
Q0KAU9	 COG0745
Q0KBH8	 COG0046
Q0KBH8	 COG0047
Q0KAK6	 ENOG50313Q2
Q0JYJ7	 ENOG502ZX1Z
Q0K6G4	 COG2261
Q0K9A7	 COG2993
Q0K3X1	 COG4104
Q7WWX0	 COG2188
Q0K0C7	 COG1249
Q0K069	 COG3185
Q0JY95	 COG0583
Q0KDD2	 COG1309
Q0K283	 COG4774
Q0K2H3	 COG1309
Q0K4Q2	 ENOG5034A1D
Q0KCF1	 COG3265
Q0K3A9	 COG0747
Q0K314	 COG1396
Q0K314	 COG1917
Q7WXG2	 COG3668
Q0K6J5	 COG1024
Q0K447	 COG0726
Q0KFP3	 COG1434
Q0KDU3	 COG3613
Q0KC20	 COG4323
Q0K1Z9	 COG2375
Q0JZ76	 COG1633
Q0K0J5	 COG1960
Q7WX62	 COG1669
Q0K080	 COG0524
Q0K1C1	 COG0583
Q0K7D4	 COG3386
Q0KDI6	 COG2885
Q0K1U0	 COG0642
Q0JZ75	 COG1215
Q0K1C7	 ENOG5032ZWG
Q0KFK6	 COG4638
Q0KCP0	 COG0625
Q0KF44	 COG1752
Q0K465	 COG3203
Q0KB73	 COG0365
Q0KD66	 COG1530
Q0K7W4	 COG0810
Q0K8T7	 COG1335
Q0K034	 COG0845
Q0KEZ0	 COG1703
Q0KEZ0	 COG1884
Q0KEZ0	 COG2185
Q0K8T0	 COG3839
Q0KA09	 COG1196
Q0K3A4	 COG2814
Q0K7W1	 COG0824
Q0K8I6	 COG0842
Q0KA69	 COG1028
Q0K3T1	 COG0346
Q0K0V3	 COG4829
Q0K5H9	 COG4322
Q0KDQ4	 COG1239
Q0KC36	 COG0318
Q0K9J1	 COG3279
Q0K573	 ENOG502ZTU0
Q0JZZ3	 COG1246
Q0KD19	 ENOG503419I
Q0KDJ4	 COG2202
Q0KDJ4	 COG4585
Q0K0P3	 COG2205
Q0K081	 COG1082
Q0KF17	 COG0625
Q0K8A5	 COG1716
Q0KBL1	 COG0624
Q0JYZ9	 COG1146
Q0K6P0	 COG1989
Q0KB50	 COG0155
Q0K8E5	 COG4700
Q0KDQ0	 COG1287
Q0KAF1	 COG1012
Q0K434	 COG0582
Q0K0M0	 COG4706
Q0JZL5	 COG0744
Q0K8F2	 ENOG5031T51
Q0K2P7	 COG5510
Q7WX26	 ENOG5033HQP
Q0K3Z2	 COG1960
Q0K4Y0	 COG1414
Q0K883	 COG1949
Q0K568	 COG1926
Q0JZM8	 COG0624
Q0K2X6	 ENOG5033FCG
Q0K8H5	 COG0133
Q0K050	 COG1884
Q0K5P8	 COG0683
Q0K6E9	 COG1733
Q0KAJ9	 ENOG5030XRJ
Q0K7K8	 COG0243
Q0K7K8	 COG3383
Q0KB51	 COG3749
Q0K557	 COG0683
Q0KCI8	 COG0778
Q0JYE9	 COG2984
Q0K060	 COG1304
Q0KEZ2	 COG1167
Q0K6A3	 COG0327
Q0K4W9	 ENOG502ZCGB
Q0KFQ2	 COG4924
Q0K234	 ENOG5033ZHB
Q0K8A0	 ENOG5032RWS
Q0K9P3	 ENOG5031AZ0
Q0K0A0	 COG1609
Q0K2I9	 COG2351
Q0K0P4	 COG2764
Q0KEU8	 COG0342
Q0K2A1	 COG1113
Q0K3F2	 COG1960
Q0K468	 ENOG5030717
Q0KAZ7	 COG1024
Q0JY72	 COG0604
Q0JZ15	 COG2175
Q0KF75	 COG1734
Q0K3V4	 COG2197
Q0K7P1	 COG1682
Q0K2Y7	 COG2015
Q0KAC3	 ENOG502ZTP2
Q7WWX2	 ENOG5033PQX
Q0KFA5	 COG0491
Q0KF60	 COG0546
Q0KF23	 COG0685
Q0KB84	 COG1721
Q0K2Y3	 COG1960
Q0KEI0	 COG0247
Q0KEI0	 COG0277
Q0KEI0	 COG1146
Q0JYH5	 COG3455
Q0KD45	 COG0697
Q0KE45	 COG0683
Q0KFQ0	 ENOG5032603
Q0K690	 COG2095
Q0K047	 COG1573
Q0K4B3	 COG1028
Q0K5X2	 COG3297
Q0JZ04	 COG0589
Q0K100	 COG1012
Q0K0W2	 COG1846
Q0KEB9	 COG2901
Q7WX22	 ENOG5033E84
Q0K8W1	 COG0583
Q0K2X8	 ENOG5033E64
Q0JZS7	 COG0744
Q0K282	 COG2135
Q0K4A0	 COG2909
Q0K6D5	 COG2233
Q0KEZ4	 COG2814
Q0KAZ2	 COG0583
Q0KDJ5	 COG3539
Q0K153	 COG2059
Q0K4F0	 COG3970
Q0KCU3	 COG0440
Q0KBT7	 COG4120
Q0JZR9	 COG3181
Q0KD41	 COG3339
Q0K921	 COG4174
Q0K6U4	 COG1804
Q0KBS9	 COG5642
Q0KFQ7	 ENOG5033WI3
Q0K582	 COG0489
Q0K582	 COG3206
Q0K543	 COG4177
Q0K599	 COG2148
Q7WXI3	 COG3950
Q0KB06	 COG0583
Q0KC93	 COG3181
Q0JYA3	 COG0765
Q0KDN6	 COG0745
Q0K5W7	 COG1459
Q0KEE0	 COG1765
Q0K0P7	 COG0451
Q0JZJ4	 COG0643
Q0JZJ4	 COG0745
Q0JZJ4	 COG2198
Q0K3R5	 COG1987
Q0KAJ0	 COG1006
Q0K3E2	 ENOG5033518
Q0K7D9	 COG0501
Q0K0M8	 COG4648
Q0KAG9	 COG2206
Q0K4C3	 ENOG5032VDB
Q0KDS7	 COG3447
Q0KDS7	 COG3852
Q0KDS7	 COG5001
Q0KBK1	 COG2323
Q0K5U3	 COG4654
Q0KCF5	 COG0084
Q0K0Y6	 COG2312
Q0KB37	 COG1529
Q0K566	 COG0065
Q0KBA3	 COG2072
Q0JZK2	 COG0410
Q0K6T0	 ENOG502ZRPS
Q0K2U0	 ENOG5033KCZ
Q0K6I6	 COG2967
Q0KAD9	 COG0488
Q0JYM6	 COG2257
Q0KEV9	 COG1080
Q0K5V7	 ENOG50342M8
Q0KBA1	 COG1174
Q0KBA1	 COG1732
Q0K307	 COG2913
Q0K7T1	 COG2017
Q0KF81	 COG5496
Q0K0D9	 COG1473
Q0K4F1	 COG2271
Q0KD43	 COG1803
Q0K9B2	 ENOG50339PI
Q0K6Y6	 COG0744
Q0K2P0	 ENOG5032Z39
Q0JZC4	 COG1277
Q0K3E8	 COG3777
Q0KEL8	 COG3203
Q0K0H3	 COG0179
Q0KCE8	 COG1305
Q0K1G3	 COG1804
Q0KCH7	 ENOG50349CR
Q0K1F6	 ENOG50309KP
Q0K272	 COG0583
Q0KA07	 COG0697
Q0KE57	 COG2771
Q0K2S9	 COG0789
Q0K6U2	 COG0583
Q0K8Q6	 COG1838
Q0K8Q6	 COG1951
Q0K1R1	 COG1566
Q7WXR1	 COG4974
Q0K4A5	 COG3181
Q0KDK6	 COG1253
Q0K7Y8	 COG1801
Q0K6U0	 COG4104
Q0K7R8	 COG2518
Q0KC51	 ENOG5034262
Q0K6C3	 COG2233
Q0KE05	 COG0604
Q7WXK2	 COG4264
Q0K891	 COG4301
Q0KBR3	 COG0071
Q0K2Y0	 COG3203
Q0JZQ7	 COG1764
Q0K528	 COG1620
Q0KAA8	 COG5517
Q0KAG0	 COG0252
Q0K9Y8	 COG1173
Q0K296	 COG2198
Q0K7E1	 COG2084
Q0K5I3	 COG0642
Q0K8K5	 COG0303
Q0K5G1	 COG0550
Q0K601	 COG0250
Q0KD09	 COG2199
Q0KBV5	 COG1180
Q0KDQ3	 COG4960
Q0K6M0	 COG0770
Q0KC97	 COG1804
Q0K7L1	 COG2864
Q0K188	 COG3181
Q0KDT4	 COG2423
Q0K4K5	 COG1706
Q0K059	 COG1414
Q0K373	 COG2909
Q0K996	 COG1175
Q0K5I8	 COG2373
Q0KFL8	 COG1842
Q0KB69	 COG0484
Q0K190	 COG0583
Q0K6T2	 COG4104
Q0K864	 COG0828
Q0K5A5	 COG0236
Q0KFD2	 ENOG503300Q
Q0K6I9	 COG1541
Q0K387	 COG0477
Q0JZT6	 COG0788
Q0JYA1	 COG2343
Q0K019	 COG2814
Q0K2T3	 COG2814
Q0K386	 COG1846
Q0K0G3	 COG5662
Q0K0H8	 COG1804
Q0K2Q3	 ENOG5033XUZ
Q0K483	 COG3181
Q0K9K3	 COG0501
Q0K444	 COG0402
Q0KCQ3	 COG4177
Q0JY43	 COG1514
Q0KE43	 COG4125
Q0KDG4	 COG1024
Q0K4J9	 COG3797
Q0KA12	 COG0242
Q0JY24	 COG0668
Q0KCI6	 COG2267
Q0K1Q3	 COG1414
Q0KFH5	 ENOG50347GV
Q0KAG2	 COG2828
Q0K7F4	 COG0795
Q0KF90	 COG1024
Q0KE48	 COG1296
Q0K2J8	 ENOG5033Q43
Q0K2Z1	 COG0111
Q0KBX9	 COG1326
Q0KC78	 COG0659
Q0KDJ0	 COG0405
Q0KCI1	 COG1309
Q0K1X7	 COG2610
Q0K9Q1	 COG2217
Q0KFK2	 COG4126
Q0JZR7	 COG1414
Q0K1H3	 COG3460
Q0K146	 COG2233
Q0K8C5	 COG1132
Q0K425	 COG1733
Q0K111	 COG1846
Q0K4Q8	 COG3181
Q0K7Q1	 COG0463
Q0K262	 COG2329
Q7WX18	 COG4422
Q0K3C0	 COG1804
Q0K068	 ENOG5032S8H
Q0JZX0	 COG0583
Q0KCN3	 COG2304
Q7WXE6	 COG0582
Q0K1Q4	 COG3181
Q0JYU3	 COG2197
Q0K409	 COG0641
Q0K4T4	 COG2064
Q0K1M7	 ENOG502ZPY2
Q0KAF9	 COG2207
Q0K290	 COG0350
Q0K290	 COG2169
Q0K8E2	 COG0589
Q7WXA8	 COG0589
Q0K9U8	 COG2337
Q0JYQ8	 COG2197
Q0KAD4	 COG1802
Q0KEW1	 COG1280
Q0K090	 ENOG5032V22
Q0K549	 COG0456
Q0KBR2	 COG0071
Q0K4V6	 COG1414
Q0KC08	 COG5380
Q0KB35	 COG1409
Q0JZC9	 COG2301
Q0KE72	 COG4969
Q0K871	 COG0583
Q0JZ17	 COG0600
Q0KFR5	 COG0286
Q0K7K7	 ENOG50344S2
Q0KFE4	 COG1984
Q0K2B9	 ENOG5034410
Q0JZQ4	 ENOG5032WBU
Q0K2V0	 COG1638
Q0K4S7	 COG0419
Q0K079	 COG1052
Q7WX98	 COG1328
Q0JZ35	 COG1657
Q0K1Q5	 COG1018
Q0K1Q5	 COG2124
Q0K659	 COG2717
Q0K257	 COG1173
Q0K9N7	 COG3696
Q0JZ22	 COG2175
Q0JZV2	 COG0477
Q0K7E9	 COG0175
Q0K6M8	 COG0849
Q0K2R2	 COG0655
Q0K231	 COG2942
Q7WWW1	 COG2337
Q0KFI0	 COG0789
Q0KCJ3	 COG0576
Q0JZ02	 COG0784
Q0JZ02	 COG0835
Q0K159	 COG2011
Q0K1T4	 COG3232
Q0K741	 COG0325
Q0KFC5	 COG3181
Q0K680	 COG2854
Q7WX21	 COG0210
Q0KCE3	 COG5470
Q0K898	 COG0515
Q0K8Y5	 COG0465
Q0K677	 COG0767
Q0K1C9	 COG0702
Q0KB81	 COG0457
Q0KB81	 COG2304
Q0K5Q6	 COG0789
Q0K380	 COG1414
Q0K480	 COG1960
Q0K993	 COG2204
Q0K7J9	 COG0439
Q0K7J9	 COG4799
Q0K5W2	 COG3791
Q0K278	 COG0624
Q0JZU7	 COG0334
Q0K244	 COG1309
Q0JZI3	 COG1845
Q0K2G4	 COG0855
Q0JYY7	 COG3607
Q0K6N7	 COG1297
Q0K5W0	 COG2814
Q0K8D5	 COG0346
Q0K217	 COG3511
Q0JZ05	 COG0659
Q0K194	 COG1028
Q0KAW9	 COG2271
Q7WXH7	 COG2916
Q0KDB2	 COG1960
Q0K4U2	 COG3847
Q0JZV5	 COG3181
Q7WX16	 ENOG5033ZIG
Q0KEP8	 COG0462
Q0KCW4	 COG1975
Q0K225	 ENOG5033Q97
Q0KCC1	 COG1409
Q0KFG0	 COG0412
Q0K3T0	 COG1012
Q0KBG1	 COG0183
Q0KDM8	 COG1012
Q7WXB0	 COG1236
Q0K274	 COG3491
Q0KCX9	 COG0308
Q0K1Q0	 COG4107
Q0K6D6	 COG0043
Q0K7H8	 COG0368
Q0KFN6	 COG1028
Q0KDH6	 COG0539
Q0K3H4	 ENOG502ZA6Z
Q0K1J1	 COG1028
Q0K9Z3	 COG0604
Q0K0M4	 COG4258
Q0K9R3	 COG0589
Q0K8T2	 COG1175
Q0KFN2	 COG2175
Q0K5X5	 COG2165
Q0K7J4	 COG1173
Q0K5H6	 COG4663
Q0K2L2	 COG0654
Q0K906	 COG1804
Q0KC94	 COG0066
Q0K8I3	 COG0626
Q0JY63	 COG3545
Q0K7R0	 COG1109
Q0K0E2	 COG2084
Q0K6A0	 COG0805
Q0K3Z8	 COG0823
Q0KF05	 COG1309
Q0KBD0	 COG2271
Q0K7I0	 COG0614
Q0KBR5	 ENOG5033WRK
Q0K0A4	 COG0251
Q0K3S2	 COG1690
Q0K505	 COG0697
Q0KF40	 COG1560
Q0K6Y8	 COG0697
Q0JZD9	 COG3039
Q0K697	 COG0537
Q0JZF6	 COG2197
Q0K2N1	 COG4133
Q0K7S1	 COG1309
Q0K9V5	 COG0456
Q0K8R2	 COG0115
Q0K8W3	 ENOG5034AVX
Q0K654	 COG0755
Q0JZT5	 COG1167
Q0K6N2	 COG4701
Q0K3D0	 COG3181
Q0KCR8	 COG1008
Q0JYY5	 ENOG5033Q2T
Q0K1B2	 COG2128
Q0K6M7	 COG1589
Q0JYS6	 COG0583
Q0KF22	 COG3070
Q0K5K6	 COG4177
Q0K2N9	 COG4291
Q0KCX4	 COG3195
Q0KEX4	 COG0644
Q0KCM3	 COG2866
Q0KB66	 COG0443
Q0K973	 COG2236
Q0KFL6	 ENOG5031TIF
Q0KAV3	 COG1917
Q0KBT6	 COG2984
Q0JYR4	 COG3154
Q0K9C9	 COG1538
Q0K0K9	 COG3486
Q0JY82	 COG1028
Q0JZK3	 COG0411
Q0K273	 COG2032
Q0K329	 COG2146
Q7WWT5	 COG2801
Q0K8Q5	 COG0796
Q0K4K6	 COG2063
Q0KBR1	 COG0451
Q0KDN7	 COG0745
Q0K8H9	 COG0285
Q0JZB6	 COG0154
Q0JZP5	 COG0657
Q0K4A3	 COG1960
Q0K7B5	 COG0761
Q0KFD1	 COG0615
Q0KBW7	 COG0708
Q0KDN5	 COG0835
Q0KAF4	 COG2258
Q0K4B4	 COG1960
Q0KE58	 COG2771
Q0KF85	 COG4770
Q0KFR1	 COG1401
Q0KEL3	 ENOG5033G0J
Q0JZG8	 COG0664
Q7WXB6	 COG0526
Q0K341	 COG0477
Q0KFI8	 COG0745
Q0K9B1	 COG3198
Q0K7P3	 COG1196
Q0K6L5	 COG2001
Q0K383	 COG1319
Q0K2I5	 COG3195
Q0K6Z0	 COG1546
Q0K3A8	 COG1173
Q0K5R0	 COG2321
Q0K7K3	 ENOG502ZBP6
Q0K460	 COG2030
Q0K0J1	 COG4274
Q0KE23	 COG2226
Q0KEQ4	 COG0742
Q0K0A7	 COG0745
Q0K858	 COG1722
Q0K825	 COG1030
Q0KAE1	 ENOG5032F55
Q0KEM5	 COG1280
Q0K9Y2	 ENOG5033CXQ
Q0JYK0	 ENOG50339HD
Q0K5P7	 COG0210
Q0KDY8	 COG1573
Q0K944	 COG1116
Q0JY84	 COG0667
Q0KEF5	 COG5265
Q0K2D4	 COG0535
Q0K9T9	 COG2197
Q0K542	 COG0559
Q0K7L5	 COG1982
Q0K9T4	 COG3181
Q0KAC0	 COG0110
Q7WXT3	 COG3385
Q0K2M9	 COG0755
Q0K8I7	 COG1131
Q0K737	 COG0753
Q0K8E1	 COG0583
Q0K7S9	 COG1804
Q0K6Z8	 COG2764
Q0K5V6	 ENOG502Z8FI
Q0K778	 COG0586
Q0KB91	 COG4775
Q0KC74	 COG2188
Q0K1X6	 COG0251
Q0K6P3	 COG0142
Q0JZ87	 COG3181
Q0JZ59	 COG2372
Q0K1Y5	 COG0578
Q0K2T6	 COG2156
Q0K5Z4	 ENOG50343ST
Q0K0D5	 COG4770
Q0JZY2	 COG4221
Q0K469	 COG0183
Q0JZ62	 ENOG5032RYI
Q0K6B0	 COG4118
Q7WX00	 COG2340
Q0K3R4	 COG1338
Q0K4E5	 COG0583
Q7WXQ8	 COG3039
Q0KAD6	 COG1063
Q0KC60	 COG2326
Q0KDI4	 COG3184
Q0K5K8	 COG0730
Q0KDF0	 ENOG5032UKY
Q0K4R7	 COG3181
Q0KA62	 COG0686
Q0K1X0	 COG5510
Q0KA24	 COG4775
Q0K2W1	 COG1680
Q0JYV3	 COG0015
Q0KBQ4	 COG1199
Q0K9N2	 COG1734
Q0KCB4	 COG1045
Q0K1I2	 COG2351
Q0K1I2	 COG3206
Q0K1I2	 COG3409
Q0KFJ5	 COG1917
Q0KFJ5	 COG2207
Q0KDM1	 COG2840
Q0K4J5	 COG3588
Q0JYI1	 ENOG5033Y6M
Q0KC80	 COG1038
Q0KEE9	 COG0834
Q7WXR2	 COG4974
Q0JZ13	 COG2873
Q0JZJ1	 COG1653
Q0KE41	 COG1538
Q0KF94	 COG3012
Q0KA48	 COG0474
Q0K0T0	 COG0577
Q0K1G1	 COG0583
Q0K014	 COG3193
Q0K3N6	 COG0183
Q0KDR9	 ENOG5033VKE
Q0K322	 COG2159
Q0K382	 COG2080
Q0K593	 COG0438
Q0K6Q3	 COG1280
Q0K4N4	 COG0643
Q0K4N4	 COG2198
Q7WXL5	 COG0464
Q0K1I7	 COG0693
Q7WXG8	 ENOG5033KSZ
Q0K1M3	 ENOG5033HCQ
Q0K6H2	 COG0604
Q0KFH8	 COG3181
Q0KEN0	 COG0517
Q0KEN0	 COG0794
Q0K3C8	 COG1960
Q0K9Y0	 COG2267
Q0JZ23	 COG0715
Q0KFJ9	 COG2271
Q0KCF2	 COG0129
Q0KAS7	 COG3531
Q0JYY1	 COG4804
Q0K3D5	 COG2931
Q0K3D5	 COG4932
Q0K5Y6	 COG1309
Q0KAC7	 ENOG502ZAJD
Q0KB14	 COG0582
Q0KEI9	 COG2068
Q0K0U5	 COG1309
Q0K4E7	 COG2207
Q0K9B8	 COG0195
Q0KDH5	 COG0776
Q0K481	 COG1028
Q7WXF7	 ENOG5033Y6Q
Q0KBJ2	 COG1053
Q0K527	 COG1139
Q0K8D0	 COG1917
Q0JZ01	 COG2188
Q7WWY0	 COG3451
Q0KFF9	 ENOG50335F7
Q0K3G7	 COG1960
Q0KFJ7	 COG0179
Q0KCR2	 COG1960
Q7WX36	 COG0476
Q0K7L6	 COG1487
Q0K5Y3	 COG1670
Q0KDL7	 ENOG5033V2H
Q0K840	 COG1210
Q7WWZ3	 ENOG5033K02
Q0KB58	 COG2146
Q0K8J1	 COG0662
Q0K5Y0	 ENOG5032UKC
Q0K2V4	 COG1802
Q0K4U6	 COG3360
Q0K1U7	 COG3045
Q0K3Z7	 COG3181
Q0K4G2	 COG3181
Q0KBE9	 COG0559
Q0KDS9	 COG0477
Q0KCI3	 COG0177
Q0K7N3	 COG0044
Q0KES6	 ENOG502ZE89
Q0KC48	 COG2270
Q0K0N0	 COG0463
Q0K9X2	 COG0747
Q0KC28	 COG0444
Q0K4P2	 COG0835
Q0K8B9	 COG3135
Q0K9V4	 COG1214
Q0K462	 COG2207
Q0K203	 COG3836
Q0K1S2	 COG5642
Q0KCE7	 COG3484
Q0KE34	 COG2606
Q0JZS5	 COG0302
Q0KAN0	 COG0664
Q0K1K2	 COG1960
Q0KB33	 COG4360
Q0K5G6	 COG0223
Q0K3R8	 COG1846
Q0K907	 COG0015
Q0K3W5	 COG3181
Q0K8T4	 COG5477
Q0KES0	 COG1999
Q0K5Z6	 COG0700
Q0K5Z6	 COG2715
Q0KCX6	 ENOG5033ZZW
Q0K763	 COG1428
Q0K1I5	 ENOG50339RT
Q0KEB7	 COG0654
Q0K067	 COG1414
Q0JZZ4	 COG1529
Q0K563	 ENOG502ZC0P
Q0KET2	 COG0219
Q0KD32	 COG0517
Q0KD32	 COG1125
Q0JZW3	 COG1278
Q0K1Z8	 ENOG503190A
Q0KF93	 COG0625
Q0K209	 COG3971
Q7WWY4	 COG3701
Q0K5B1	 COG2197
Q0KDB4	 COG5285
Q0JYI2	 ENOG5032Y09
Q0K2L8	 COG2721
Q0K7X1	 ENOG5033B54
Q0K032	 ENOG5033V14
Q0K3C1	 COG2030
Q0JYF3	 COG3181
Q0KCG5	 COG2975
Q0K096	 COG0604
Q0JZE2	 COG0204
Q0JZE2	 COG0236
Q0JZE2	 COG0318
Q0K089	 COG1764
Q0JZK4	 COG4177
Q0K8L6	 COG1399
Q0KBN8	 COG2040
Q0K114	 COG1529
Q0KE01	 COG3181
Q0K207	 COG1294
Q0K9W3	 COG2072
Q0KF38	 ENOG502Z7Z3
Q0K240	 COG0346
Q0JYZ4	 COG3536
Q0K158	 COG1135
Q0KAW1	 COG1402
Q0KB68	 COG0421
Q0K9F3	 ENOG5033VG0
Q0K141	 ENOG5032WIJ
Q0K7Q5	 ENOG5032SFM
Q0KAE2	 COG3181
Q0K9P9	 COG0640
Q0K7X5	 COG1960
Q0KBH1	 COG0397
Q0KEA9	 COG0760
Q0K7Z6	 COG3450
Q0K8J2	 COG3181
Q0K5E9	 COG0841
Q0JZG6	 COG3064
Q0K5K7	 ENOG5033UN5
Q0K4I9	 COG3181
Q0K0Z9	 ENOG5033Q3Z
Q0K618	 COG1853
Q0KA90	 COG0491
Q0JZF9	 COG0477
Q0K2H9	 COG2175
Q7WXU0	 COG4191
Q0JZC5	 COG1277
Q0KB22	 COG0507
Q0KB22	 COG1112
Q0KB22	 COG3831
Q0K7N9	 COG1898
Q0K0F4	 COG1024
Q7WX06	 ENOG5033WWZ
Q0JYD7	 COG3194
Q0K1J7	 COG4147
Q0KDG6	 COG2951
Q0K8M3	 COG0304
Q0K2K9	 COG1804
Q0JY36	 COG1297
Q0K7S2	 ENOG5032S46
Q0K3V5	 COG0625
Q0K352	 COG2223
Q0K6R0	 COG3023
Q0K9F8	 COG0460
Q0K0Y1	 ENOG5032Z3P
Q0KB59	 COG0446
Q0JYC2	 COG1062
Q0KC62	 ENOG5034AC1
Q0KA06	 COG0436
Q0K0W1	 COG0807
Q0KEQ1	 COG3211
Q0K2M8	 COG2332
Q0K3H5	 COG2771
Q0KBU7	 COG2186
Q0KD95	 ENOG502ZTBR
Q0K054	 ENOG502ZKJ4
Q0KAW8	 COG1975
Q0K9P5	 COG0346
Q0KEG1	 COG1960
Q0K2J6	 COG1024
Q0K529	 COG1804
Q0K4L7	 COG1191
Q0K657	 COG5662
Q0K1Q2	 COG3454
Q0JZY6	 COG3181
Q0K378	 COG1414
Q0K9L7	 COG0727
Q0KAB1	 COG2267
Q0KC64	 COG1028
Q7WX86	 COG0826
Q0K810	 COG3576
Q0JYB2	 COG1804
Q0JZ48	 COG0069
Q0KC05	 COG3090
Q0K2L9	 COG1878
Q7WX23	 ENOG50346NV
Q0K748	 COG1380
Q0K333	 COG1846
Q0KD61	 COG0408
Q0K438	 COG0589
Q0KDY9	 COG1917
Q0K256	 COG0601
Q0K6M9	 COG0206
Q0K676	 COG1127
Q0K7J2	 COG4608
Q7WXL6	 COG1196
Q0K7Z9	 COG0666
Q0K6K1	 COG1173
Q7WX81	 COG0623
Q0K2D9	 COG0842
Q0K5C3	 COG2267
Q7WX85	 COG0826
Q7WX13	 COG0582
Q0KBC2	 COG0354
Q0K893	 COG0513
Q0K2P4	 COG1853
Q0KBI1	 COG1638
Q0KF77	 ENOG5033U41
Q0JZ90	 COG4977
Q0K9M1	 COG1925
Q0K0I5	 COG0583
Q0KCW9	 COG3748
Q7WWW4	 ENOG5033GH0
Q0K142	 COG2602
Q0K8E8	 COG0220
Q0K8Z8	 COG2062
Q0K8K3	 COG1322
Q0KD14	 COG2128
Q0K962	 COG0821
Q0K6R1	 COG0209
Q0KAI5	 COG1024
Q0K2U6	 COG5649
Q0JZQ5	 COG2128
Q0K7M2	 COG1595
Q0KFH0	 COG1804
Q0KEG9	 COG2928
Q0K6C2	 COG0402
Q0JYU7	 COG0840
Q0K5C4	 COG0300
Q0KDQ2	 COG3847
Q0K6Q5	 COG0541
Q0K9I5	 COG0555
Q0KA42	 ENOG50341CN
Q0K520	 COG2606
Q0K6Q8	 COG0642
Q0KEX6	 COG2205
Q0KC68	 COG2175
Q0KD53	 COG0654
Q0K065	 COG0277
Q0K5D1	 ENOG502ZB7P
Q0KBF2	 COG0596
Q7WX66	 COG0664
Q0KB12	 COG0569
Q0KB12	 COG2985
Q0K328	 COG4177
Q0K6Q6	 COG4137
Q0KE37	 COG0745
Q0KF49	 COG0002
Q0KFK0	 COG3473
Q0K890	 COG0861
Q0KFB5	 COG0745
Q0K5Q7	 COG0782
Q0K7U4	 ENOG50340Z4
Q0KA82	 COG1842
Q0K6X5	 COG0511
Q0KDG5	 COG0123
Q0KAE6	 COG0720
Q0K001	 COG1167
Q0K3L4	 COG3181
Q0K140	 COG1940
Q0KBX5	 COG0427
Q0K9A5	 COG3197
Q0KF53	 COG0697
Q0K6U7	 COG0834
Q0K3X0	 ENOG502ZX64
Q0K1A9	 COG1335
Q0K4C2	 COG1476
